city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,purchasing power index,climate index,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps,sun_jan,sun_feb,sun_mar,sun_apr,sun_may,sun_jun,sun_jul,sun_aug,sun_sep,sun_oct,sun_nov,sun_dec,sun_year,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,temp_year,happy_decibel_level,happy_traffic_density,happy_green_space_area,happy_air_quality_index,happy_happiness_score,happy_cost_of_living_index,happy_healthcare_index,median_speed(mbps)
Budapest,Hungary,8.570500000000001,7.948,5.4935,2.8040000000000003,4.426500000000001,5.395000000000001,6.707999999999999,8.218499999999999,5.745999999999999,3.693,5.2875,4.946,6.1075,6.759,8.253000000000002,7.228,5.112000000000001,68.8,78.4,47.4983,19.0408,HUN,1686222.0,5.66,974.48,12.82,62.0,93.0,137.0,177.0,234.0,250.0,271.0,255.0,187.0,141.0,69.0,52.0,1988.0,"0.4
(32.7)","2.3
(36.1)","6.1
(43.0)","12.0
(53.6)","16.6
(61.9)","19.7
(67.5)","21.5
(70.7)","21.2
(70.2)","16.9
(62.4)","11.8
(53.2)","5.4
(41.7)","1.8
(35.2)","11.3
(52.3)",65.0,Medium,45.0,70.0,6.8,75.0,80.0,79.27
Buenos Aires,Argentina,8.812000000000001,7.763999999999999,4.672999999999999,2.3100000000000005,3.77,4.9235,4.045333333333334,6.0395,6.978999999999998,1.422,4.869,2.884,1.568,1.5275,7.6735,8.584000000000001,4.535500000000001,,,-34.6036,-58.3814,ARG,16710000.0,5.0,403.51,21.87,279.0,240.8,229.0,220.0,173.6,132.0,142.6,173.6,189.0,227.0,252.0,266.6,2525.2,"24.9
(76.8)","23.6
(74.5)","21.9
(71.4)","17.9
(64.2)","14.5
(58.1)","11.7
(53.1)","11.0
(51.8)","12.8
(55.0)","14.6
(58.3)","17.9
(64.2)","20.7
(69.3)","23.3
(73.9)","17.9
(64.2)",65.0,High,40.0,60.0,6.1,60.0,75.0,52.84
Cairo,Egypt,10.0,10.0,5.0985000000000005,2.958,3.7575,3.99025,5.7906666666666675,6.791,4.0409999999999995,0.5,1.1555000000000002,2.978,5.101,2.405,6.1855,2.6500000000000004,0.5,,,30.0444,31.2358,EGY,20296000.0,4.07,200.4,16.37,229.4,234.9,279.0,306.0,331.7,363.0,372.0,356.5,318.0,294.5,246.0,210.8,3541.8,"13.6
(56.5)","14.9
(58.8)","16.9
(62.4)","21.2
(70.2)","24.5
(76.1)","27.3
(81.1)","27.6
(81.7)","27.4
(81.3)","26
(79)","23.3
(73.9)","18.9
(66.0)","15
(59)","21.4
(70.5)",75.0,Very High,20.0,115.0,3.5,55.0,65.0,26.08
Calgary,Canada,6.495000000000001,5.417999999999999,5.9495000000000005,2.0359999999999996,2.514,5.157500000000001,8.966,7.923,8.026333333333334,5.5550000000000015,8.191499999999998,5.8405000000000005,7.2745000000000015,5.6705000000000005,4.268,8.1105,7.504499999999999,124.1,33.1,51.05,-114.0667,CAN,1306784.0,8.89,3807.94,64.35,119.5,144.6,177.2,220.2,249.4,269.9,314.1,284.0,207.0,175.4,121.1,114.0,2396.3,"−7.1
(19.2)","−5.4
(22.3)","−1.6
(29.1)","4.6
(40.3)","9.7
(49.5)","13.7
(56.7)","16.5
(61.7)","15.8
(60.4)","11.0
(51.8)","5.2
(41.4)","−2.4
(27.7)","−6.8
(19.8)","4.4
(39.9)",,,,,,,,
Cambridge,United Kingdom,4.1055,4.851,5.253,3.2840000000000003,6.887499999999999,5.627750000000001,8.991999999999999,9.504499999999998,8.189,6.554500000000001,8.0165,5.438,5.9545,5.8095,2.455,8.487000000000002,0.5,,,52.205,0.1225,GBR,123867.0,7.38,3325.27,35.67,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,Low,185.0,20.0,7.8,25.0,98.0,
Canberra,Australia,,,,,,,,,,,,,,,,,,104.0,82.7,-35.2931,149.1269,AUS,381488.0,8.94,4432.43,51.28,294.5,254.3,251.1,219.0,186.0,156.0,179.8,217.0,231.0,266.6,267.0,291.4,2813.7,"20.6
(69.1)","20.1
(68.2)","17.6
(63.7)","13.4
(56.1)","9.4
(48.9)","6.7
(44.1)","5.7
(42.3)","7.0
(44.6)","9.8
(49.6)","12.8
(55.0)","15.8
(60.4)","18.8
(65.8)","13.1
(55.6)",55.0,Low,75.0,35.0,8.0,95.0,92.0,
Cape Town,South Africa,6.7635000000000005,7.955,5.611000000000001,3.725,2.1630000000000003,3.8425,4.732,5.327999999999999,4.343,0.8945000000000001,6.6085,2.7680000000000007,5.151,5.612500000000001,4.736000000000001,3.6605,6.750500000000001,105.2,98.2,-33.9253,18.4239,ZAF,4770313.0,3.99,1254.87,46.26,337.9,297.4,292.9,233.5,205.3,175.4,193.1,212.1,224.7,277.7,309.8,334.2,3094.0,"20.4
(68.7)","20.4
(68.7)","19.2
(66.6)","16.9
(62.4)","14.4
(57.9)","12.5
(54.5)","11.9
(53.4)","12.4
(54.3)","13.7
(56.7)","15.6
(60.1)","17.9
(64.2)","19.5
(67.1)","16.2
(61.2)",55.0,Low,60.0,45.0,7.6,70.0,80.0,53.1
Caracas,Venezuela,4.9025,9.82,3.0535,0.0,1.3235,4.544250000000001,1.0,5.221,4.178333333333334,0.0,2.2725,1.978,4.180000000000001,1.6415000000000002,4.38,4.5504999999999995,4.0985,,,10.4806,-66.9036,VEN,3242000.0,10.0,185.12,49.38,229.4,217.5,235.6,183.0,182.9,183.0,210.8,217.0,213.0,210.8,210.0,213.9,2506.9,"20.2
(68.4)","20.8
(69.4)","21.7
(71.1)","22.7
(72.9)","23.2
(73.8)","22.6
(72.7)","22.2
(72.0)","22.3
(72.1)","22.7
(72.9)","22.4
(72.3)","22.0
(71.6)","20.7
(69.3)","22.0
(71.6)",75.0,Very High,20.0,115.0,3.0,50.0,55.0,15.76
Cardiff,United Kingdom,7.065,6.082,3.3955,1.7800000000000002,4.890000000000001,5.764749999999999,8.991999999999999,8.21,8.318333333333332,4.785500000000001,6.607249999999999,5.438,5.9545,5.101,5.0285,7.996,4.8055,,,51.4817,-3.1792,GBR,361469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casablanca,Morocco,8.822,9.088,3.0974999999999997,0.0,2.9145,4.26,5.614333333333333,6.775500000000001,4.47,0.0,2.2555000000000005,3.1735,3.2994999999999997,2.067,2.6830000000000003,2.945,3.9935,,,33.5333,-7.5833,MAR,3215935.0,6.14,470.72,36.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.71
Chattanooga,United States,6.782,6.121,3.909499999999999,2.228,1.2095,0.7969999999999999,8.671,4.468,6.2429999999999986,3.6245,7.1515,6.5145,4.772,8.365,4.1625,4.7925,3.908,,,35.066,-85.2481,USA,410795.0,9.0,4196.1,65.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chennai,India,10.0,10.0,7.104,3.782000000000001,4.208,4.8420000000000005,3.617999999999999,7.837000000000001,4.074666666666666,0.5115000000000001,2.3945000000000007,5.5565,3.4145,6.825500000000001,2.2275,4.550000000000001,4.198,101.6,53.2,13.0825,80.275,IND,12395000.0,4.91,552.68,9.48,232.5,240.1,291.4,294.0,300.7,234.0,142.6,189.1,195.0,257.3,261.0,210.8,2848.5,,,,,,,,,,,,,,,,,,,,,
Chiang Mai,Thailand,9.3725,8.495000000000001,1.783,0.0,1.6945,5.141249999999999,5.6036666666666655,8.452500000000002,7.393666666666667,1.6875,3.981,2.387,6.794500000000001,4.2865,6.847500000000001,6.8715,3.0879999999999996,,,18.7953,98.9986,THA,1198000.0,,,,272.8,257.1,294.5,279.0,198.4,156.0,120.9,117.8,144.0,201.5,216.0,254.2,2512.2,"21.5
(70.7)","23.9
(75.0)","27.1
(80.8)","29.3
(84.7)","28.2
(82.8)","27.6
(81.7)","27.2
(81.0)","26.8
(80.2)","26.7
(80.1)","26.1
(79.0)","24.0
(75.2)","21.4
(70.5)","25.8
(78.4)",,,,,,,,
Chicago,United States,3.702,4.766000000000001,9.513,8.368,5.5075,4.57975,8.671,3.832,6.215999999999998,7.999,6.8045,6.5145,4.062,6.599499999999999,8.193,6.1339999999999995,5.4155,126.3,66.1,41.8375,-87.6866,USA,8489066.0,10.0,4819.49,62.56,135.8,136.2,187.0,215.3,281.9,311.4,318.4,283.0,226.6,193.2,113.3,106.3,2508.4,"−4.6
(23.7)","−2.4
(27.7)","3.2
(37.7)","9.4
(48.9)","15.0
(59.0)","20.5
(68.9)","23.3
(73.9)","22.4
(72.3)","18.1
(64.5)","11.4
(52.5)","4.6
(40.3)","−2.4
(27.7)","9.8
(49.7)",60.0,Medium,30.0,55.0,7.0,85.0,70.0,
Chisinau,Moldova,9.6765,9.343,3.0535,0.0,1.6025,5.495,5.443333333333333,7.627999999999999,5.065999999999999,1.3995,4.3382499999999995,3.9765000000000006,6.2325,5.3615,2.7120000000000006,6.646999999999999,3.121,,,47.0228,28.8353,MDA,639000.0,4.87,448.7,9.02,75.0,80.0,125.0,187.0,254.0,283.0,299.0,295.0,226.0,169.0,75.0,58.0,2126.0,"−1.9
(28.6)","−0.8
(30.6)","3.7
(38.7)","10.4
(50.7)","16.5
(61.7)","19.9
(67.8)","22.1
(71.8)","21.7
(71.1)","16.3
(61.3)","10.5
(50.9)","4.1
(39.4)","−0.6
(30.9)","10.2
(50.4)",,,,,,,,49.15
Christchurch,New Zealand,6.934000000000001,5.096,1.5355000000000003,0.0,0.8334999999999999,5.51775,10.0,7.584999999999999,8.312333333333333,4.756,9.2565,5.505500000000001,5.9315,5.922,3.223500000000001,8.403500000000001,6.269,,,-43.5311,172.6361,NZL,383200.0,8.34,3327.32,49.09,224.4,190.5,177.4,155.6,133.3,117.7,124.8,149.0,166.6,201.3,215.3,214.3,2070.2,"17.5
(63.5)","17.2
(63.0)","15.5
(59.9)","12.7
(54.9)","9.8
(49.6)","7.1
(44.8)","6.6
(43.9)","7.9
(46.2)","10.3
(50.5)","12.2
(54.0)","14.1
(57.4)","16.1
(61.0)","12.2
(54.0)",55.0,Low,85.0,25.0,8.2,85.0,94.0,
Cincinnati,United States,6.6775,6.1080000000000005,6.0995,2.7089999999999996,1.9265,4.743500000000001,8.671,4.975,6.345999999999999,4.2805,7.1095,6.5145,3.9205,6.512000000000001,6.118000000000001,5.2989999999999995,3.6075,,,39.1413,-84.506,USA,1704916.0,7.75,3621.99,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluj-Napoca,Romania,9.165,8.794,3.4094999999999995,1.8990000000000005,1.7625000000000002,5.876,5.681666666666667,9.4745,6.434333333333333,2.4480000000000004,6.40075,4.103,6.8389999999999995,8.6655,2.6275000000000004,8.624,4.255,75.9,74.3,46.7667,23.5833,ROU,286598.0,5.35,873.53,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cologne,Germany,6.5265,5.606999999999999,5.1065000000000005,3.2780000000000005,7.282000000000001,5.381749999999999,9.072333333333331,6.6295,8.04,5.1034999999999995,6.48,5.373500000000001,3.9035,5.666,5.3225,6.7115,5.289000000000001,117.5,84.8,50.9364,6.9528,DEU,1087353.0,9.48,2480.27,35.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,United States,6.4995,5.375,4.267,2.147,1.266,1.7352500000000004,8.671,5.3774999999999995,5.843999999999999,3.6245,8.526500000000002,6.5145,4.346,5.9225,3.812,9.206,7.356499999999999,,,38.8674,-104.7605,USA,638421.0,10.0,4563.77,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copenhagen,Denmark,4.227,3.426,6.206999999999999,4.467,6.3,6.2955000000000005,9.94,9.1525,7.985333333333334,5.301,8.27225,4.886500000000001,5.0680000000000005,7.239500000000001,7.063000000000001,9.0955,4.671000000000001,123.7,83.7,55.6805,12.5615,DNK,1366301.0,12.05,3670.25,37.29,56.0,83.0,152.0,226.0,271.0,260.0,246.0,231.0,175.0,107.0,60.0,45.0,1912.0,"1.4
(34.5)","1.4
(34.5)","3.5
(38.3)","7.7
(45.9)","12.5
(54.5)","15.6
(60.1)","18.1
(64.6)","17.7
(63.9)","13.9
(57.0)","9.8
(49.6)","5.5
(41.9)","2.5
(36.5)","9.1
(48.4)",50.0,Low,75.0,35.0,8.3,110.0,98.0,268.65
Cork,Ireland,5.514500000000001,4.902,3.9875,2.8699999999999997,2.3615,5.504250000000001,8.345666666666666,8.839500000000001,7.426333333333334,4.879,8.012750000000002,7.514500000000001,6.254999999999999,9.143999999999998,2.5315,8.630500000000001,0.5,105.5,89.8,51.9,-8.4731,IRL,222333.0,9.48,2881.42,52.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curitiba,Brazil,9.4295,8.433,2.912,2.148,0.8900000000000001,4.950250000000001,2.781,5.9465,5.897,1.0165000000000002,7.75725,2.187,2.8525,3.1420000000000003,7.1875,7.848000000000001,2.6655,40.6,99.6,-25.4297,-49.2719,BRA,1773718.0,5.75,492.89,22.55,160.5,151.3,163.1,155.5,148.8,141.3,162.1,173.0,124.3,136.7,163.5,164.7,1844.8,"20.4
(68.7)","20.6
(69.1)","19.6
(67.3)","17.2
(63.0)","14.5
(58.1)","13.1
(55.6)","12.9
(55.2)","14.1
(57.4)","15.0
(59.0)","16.5
(61.7)","18.2
(64.8)","19.3
(66.7)","16.8
(62.2)",,,,,,,,
Dar es Salaam,Tanzania,7.652000000000001,8.026,2.6875000000000004,3.191,1.4535,2.07575,3.2886666666666664,6.1005,3.238666666666667,0.0,2.0802500000000004,5.499999999999999,4.497000000000001,1.11,1.205,2.7665,4.3535,,,-6.8161,39.2803,TZA,7962000.0,6.64,264.32,44.53,251.0,241.0,217.0,156.0,192.0,231.0,251.0,242.0,243.0,254.0,270.0,287.0,2815.0,"27.4
(81.3)","27.7
(81.9)","27.4
(81.3)","26.5
(79.7)","25.5
(77.9)","24.2
(75.6)","23.5
(74.3)","23.7
(74.7)","24.3
(75.7)","25.3
(77.5)","26.3
(79.3)","27.3
(81.1)","25.8
(78.4)",,,,,,,,39.35
Delhi,India,9.752,9.869,9.828500000000002,9.099000000000002,5.642,3.71225,3.617999999999999,6.4185,3.7126666666666663,0.512,2.2030000000000003,5.5565,3.4145,3.588,5.683,3.115999999999999,1.1785,121.7,58.9,28.61,77.23,IND,32226000.0,4.3,586.46,7.95,214.6,216.1,239.1,261.0,263.1,196.5,165.9,177.0,219.0,269.3,247.2,215.8,2684.6,,,,,,,,,,,,,,85.0,Very High,10.0,180.0,3.5,60.0,55.0,121.09
Denver,United States,3.8375,5.102,7.8645,6.117,4.243,4.530000000000001,8.671,5.371,6.220333333333333,3.6245,7.11675,6.5145,4.346,5.418500000000001,6.2235,7.860499999999999,7.932999999999999,129.7,56.3,39.762,-104.8758,USA,2691349.0,9.4,5565.78,73.23,215.3,211.1,255.6,276.2,290.0,315.3,325.0,306.4,272.3,249.2,194.3,195.9,3106.6,"−0.3
(31.4)","0.8
(33.4)","4.8
(40.7)","8.9
(48.0)","14.2
(57.6)","19.7
(67.4)","23.4
(74.1)","22.3
(72.1)","17.3
(63.2)","10.4
(50.7)","3.8
(38.9)","−0.9
(30.3)","10.4
(50.7)",60.0,Medium,40.0,50.0,7.5,95.0,89.0,
Detroit,United States,6.223000000000001,6.032,5.4015,5.183999999999999,3.6405,0.933,8.671,4.4615,5.786333333333332,5.8185,4.04675,6.5145,3.7785,6.167000000000002,7.478,3.678,5.387499999999999,,,42.3834,-83.1024,USA,3716929.0,8.75,3926.67,72.0,119.9,138.3,184.9,217.0,275.9,301.8,317.0,283.5,227.6,176.0,106.3,87.7,2435.9,"−3.7
(25.3)","−2.3
(27.9)","2.7
(36.9)","9.4
(49.0)","15.2
(59.4)","20.7
(69.2)","23.0
(73.4)","22.1
(71.8)","17.9
(64.2)","11.2
(52.2)","5.2
(41.3)","−1.2
(29.9)","10.0
(50.0)",,,,,,,,
Doha,Qatar,2.1315,6.183,2.6875000000000004,0.0,2.6425,4.61625,7.408333333333332,9.486,7.4336666666666655,1.4335,3.94175,9.39,10.0,3.245,4.6205,5.0625,4.436999999999999,140.8,36.0,25.2867,51.5333,QAT,1186023.0,6.87,3342.4,90.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.37
Dresden,Germany,7.884500000000001,6.0280000000000005,2.4065,1.533,3.536000000000001,4.959999999999999,9.072333333333331,8.463999999999999,8.393666666666666,5.124500000000001,8.110750000000001,5.373500000000001,3.9035,5.6035,6.6385,7.369,4.649,,,51.05,13.74,DEU,566222.0,8.96,2579.58,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubai,United Arab Emirates,2.591,5.49,7.309000000000001,4.183,4.508,4.2284999999999995,8.036999999999999,9.172,6.3919999999999995,2.28,6.035500000000001,7.885999999999999,10.0,3.151,4.6705,5.426500000000001,5.7985,122.7,50.3,25.2631,55.2972,ARE,3331420.0,8.17,4322.14,97.02,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,Medium,35.0,120.0,6.0,110.0,85.0,330.4
Dublin,Ireland,2.5124999999999997,4.005000000000001,5.651,6.204,4.7615,5.44625,8.345666666666666,7.121499999999999,6.8103333333333325,5.6065,6.5015,7.514500000000001,6.254999999999999,8.3435,7.134500000000001,7.328,5.664,100.8,85.9,53.3497,-6.2603,IRL,592713.0,10.01,3177.2,59.14,59.0,75.0,109.0,160.0,195.0,179.0,164.0,157.0,129.0,103.0,71.0,53.0,1453.0,"5.3
(41.5)","5.3
(41.5)","6.8
(44.2)","8.3
(46.9)","10.9
(51.6)","13.6
(56.5)","15.6
(60.1)","15.3
(59.5)","13.4
(56.1)","10.5
(50.9)","7.4
(45.3)","5.6
(42.1)","9.8
(49.6)",60.0,Medium,55.0,40.0,7.0,105.0,85.0,93.0
Durban,South Africa,,,,,,,,,,,,,,,,,,91.7,95.6,-29.8833,31.05,ZAF,838634.0,3.99,1079.61,46.45,184.0,178.8,201.6,206.4,223.6,224.9,230.4,217.0,173.3,169.4,166.1,189.9,2365.4,"24.1
(75.4)","24.3
(75.7)","23.7
(74.7)","21.6
(70.9)","19.1
(66.4)","16.6
(61.9)","16.5
(61.7)","17.7
(63.9)","19.2
(66.6)","20.1
(68.2)","21.4
(70.5)","23.1
(73.6)","20.6
(69.1)",,,,,,,,
Dusseldorf,Germany,6.282000000000001,5.1339999999999995,3.389,2.2300000000000004,6.6695,5.283000000000001,9.072333333333331,8.166,8.003666666666666,4.306500000000001,7.375499999999999,5.373500000000001,3.9035,5.666,4.664000000000001,7.868499999999999,5.3585,,,51.2256,6.7767,DEU,631217.0,9.48,3245.42,32.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh,United Kingdom,5.8450000000000015,5.114,4.109,3.3369999999999997,5.185,5.967500000000001,8.991999999999999,8.485,8.552333333333332,6.092500000000001,7.763,5.438,5.9545,5.1755,7.200500000000001,7.922000000000001,5.131,111.6,84.0,55.95,-3.1833,GBR,488050.0,7.38,2761.09,34.38,54.0,79.0,115.0,145.0,188.0,166.0,172.0,162.0,129.0,101.0,71.0,46.0,1427.0,"4.2
(39.6)","4.5
(40.1)","6.2
(43.2)","8.1
(46.6)","10.8
(51.4)","13.5
(56.3)","15.3
(59.5)","15.2
(59.4)","13.0
(55.4)","9.8
(49.6)","6.7
(44.1)","4.2
(39.6)","9.3
(48.7)",55.0,Low,65.0,55.0,7.8,85.0,92.0,
Edmonton,Canada,6.729500000000001,5.522,4.6240000000000006,2.392,1.9019999999999997,5.09725,8.966,7.1175000000000015,8.269,5.948,8.17575,5.8405000000000005,7.2745000000000015,4.609999999999999,3.974,7.9255,3.385,120.9,32.1,53.5344,-113.4903,CAN,1151635.0,8.89,3403.02,59.09,100.8,121.7,176.3,244.2,279.9,285.9,307.5,282.3,192.7,170.8,98.4,84.5,2344.8,"−10.4
(13.3)","−7.6
(18.3)","−2.5
(27.5)","5.4
(41.7)","11.5
(52.7)","15.5
(59.9)","17.7
(63.9)","16.9
(62.4)","11.4
(52.5)","5.1
(41.2)","−4.1
(24.6)","−8.8
(16.2)","4.2
(39.6)",,,,,,,,
Eindhoven,Netherlands,6.252000000000001,5.125,3.5405,3.0170000000000003,4.807499999999999,6.031750000000001,8.836666666666666,9.107,8.559333333333333,5.0805,8.805,5.053000000000001,4.954999999999999,7.658999999999999,4.333500000000001,9.3425,4.628,139.4,85.4,51.4344,5.4842,NLD,243730.0,10.54,3566.2,42.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugene,United States,6.713,5.021,3.0865000000000005,1.964,1.192,5.627000000000001,8.671,6.171500000000001,6.566666666666666,4.1735,8.231,6.5145,3.9205,4.756000000000001,2.9560000000000004,8.9695,3.533,,,44.0564,-123.1174,USA,272737.0,9.0,3050.0,61.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Italy,6.775,4.649,2.2274999999999996,0.0,4.306,6.0287500000000005,6.189666666666666,7.9725,8.163666666666666,4.058000000000001,6.009000000000001,3.3625,2.4365,4.4415,8.503499999999999,6.7355,1.6769999999999998,,,43.7714,11.2542,ITA,360930.0,9.75,1491.05,31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,High,35.0,65.0,7.0,100.0,78.0,
Florianopolis,Brazil,9.0595,8.331000000000001,1.0,0.0,0.683,4.78775,2.781,6.5249999999999995,5.432999999999999,1.0165000000000002,4.943999999999999,2.187,2.8525,3.185,5.33,7.637500000000001,5.7509999999999994,,,-27.5933,-48.553,BRA,342315.0,6.71,415.52,22.36,,,,,,,,,,,,,,"24.9
(76.8)","25.1
(77.2)","24.5
(76.1)","22.2
(72.0)","19.2
(66.6)","17.2
(63.0)","16.4
(61.5)","17.0
(62.6)","18.3
(64.9)","20.3
(68.5)","22.2
(72.0)","24.0
(75.2)","20.9
(69.6)",,,,,,,,
Fort Collins,United States,2.744500000000001,0.0,4.0435,0.0,1.102,2.0075000000000003,8.671,6.935499999999999,6.8309999999999995,4.1735,9.95325,6.5145,4.346,5.301999999999999,2.746,9.48,6.1865000000000006,,,40.5477,-105.0656,USA,339256.0,8.0,4277.78,59.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankfurt,Germany,5.957,5.143,3.768,3.398999999999999,8.529,5.923,9.072333333333331,6.8375,7.707333333333334,5.2065,6.4755,5.373500000000001,3.9035,4.079,6.492,7.0345,5.384,142.3,84.7,50.1106,8.6822,DEU,775790.0,9.05,3365.64,38.65,50.0,80.0,121.0,178.0,211.0,219.0,233.0,219.0,156.0,103.0,51.0,41.0,1662.0,"1.6
(34.9)","2.4
(36.3)","6.4
(43.5)","10.3
(50.5)","14.7
(58.5)","17.8
(64.0)","20
(68)","19.5
(67.1)","15.2
(59.4)","10.4
(50.7)","5.6
(42.1)","2.5
(36.5)","10.6
(51.1)",60.0,Medium,50.0,60.0,7.3,90.0,95.0,
Fukuoka,Japan,4.01,0.0,1.484,1.79,6.172499999999999,0.0,8.389666666666667,9.945,9.098,5.5275,7.916,3.7235,6.0329999999999995,4.575000000000001,5.8605,7.259,5.6815,,,33.59,130.4017,JPN,2286000.0,5.21,1646.81,36.03,,,,,,,,,,,,,,"6.6
(43.9)","7.4
(45.3)","10.4
(50.7)","15.1
(59.2)","19.4
(66.9)","23.0
(73.4)","27.2
(81.0)","28.1
(82.6)","24.4
(75.9)","19.2
(66.6)","13.8
(56.8)","8.9
(48.0)","17.0
(62.6)",,,,,,,,
Galway,Ireland,6.275500000000001,4.9270000000000005,2.5380000000000003,2.556,2.3615,5.68975,8.345666666666666,8.89,7.069999999999999,5.0075,7.51875,7.514500000000001,6.254999999999999,7.637499999999999,1.1150000000000002,8.700499999999998,3.712499999999999,,,53.2729,-9.0418,IRL,83456.0,9.48,2433.67,50.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gdansk,Poland,8.508,8.126999999999999,2.6875000000000004,0.0,2.8345,5.861,5.7043333333333335,8.0405,6.855666666666666,4.6615,7.794500000000001,4.7615,5.0969999999999995,5.036,5.515,4.4785,5.0249999999999995,95.6,75.5,54.3475,18.6453,POL,749786.0,5.63,1136.51,12.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,1.0775,1.0,4.692,3.089,5.866500000000001,6.003,8.888,8.427,7.443,5.186,8.601750000000001,6.552,6.4285000000000005,8.378499999999999,5.244000000000001,8.6205,6.5535,152.2,82.6,46.2017,6.1469,CHE,203840.0,16.03,5855.97,56.69,61.0,96.0,161.0,187.0,212.0,246.0,269.0,242.0,184.0,116.0,65.0,48.0,1887.0,,,,,,,,,,,,,,55.0,Low,70.0,35.0,8.1,120.0,100.0,90.46
Gibraltar,Gibraltar,1.112,0.0,2.8419999999999996,1.5659999999999998,0.758,0.0,0.0,9.3375,3.023333333333333,0.0,5.1835,0.0,2.9130000000000003,4.296,2.235,4.4265,4.7565,,,36.14,-5.35,GIB,34003.0,8.61,3385.92,46.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow,United Kingdom,6.9285000000000005,5.623,3.505,1.1820000000000002,6.1995000000000005,5.35225,8.991999999999999,7.496,8.813333333333333,5.306500000000001,7.100999999999999,5.438,5.9545,4.252999999999999,4.671000000000001,6.9430000000000005,3.740999999999999,121.6,84.8,55.8611,-4.25,GBR,626410.0,7.38,2977.24,35.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothenburg,Sweden,6.725,5.046000000000001,3.1285000000000007,3.725,3.6575,5.96875,9.568999999999996,7.296,8.101666666666667,4.7775,8.58975,5.694499999999999,2.7495000000000003,6.1925,4.0045,6.3645,4.5685,125.2,77.5,57.7075,11.9675,SWE,674529.0,8.72,2782.04,30.25,44.0,69.0,167.0,211.0,239.0,256.0,234.0,196.0,168.0,99.0,47.0,32.0,1762.0,,,,,,,,,,,,,,60.0,Low,70.0,30.0,8.0,85.0,97.0,175.0
Grenoble,France,7.505000000000001,4.317,2.7430000000000003,1.852,3.996,5.52575,8.088333333333333,5.8875,9.063,4.549,6.151,4.2045,2.648000000000001,3.758,3.1785,5.0504999999999995,4.646,,,45.1715,5.7224,FRA,156389.0,9.48,2054.8,33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,9.527,9.49,4.3445,0.0,1.7294999999999998,4.3455,5.764999999999999,6.472000000000001,7.034333333333333,1.2095,3.34325,3.5005,4.333500000000001,4.0925,7.657,8.1575,3.4765000000000006,47.9,92.8,20.6767,-103.3475,MEX,5525000.0,6.19,764.19,28.69,,,,,,,,,,,,,,"17.1
(62.8)","18.4
(65.1)","20.7
(69.3)","22.8
(73.0)","24.5
(76.1)","23.9
(75.0)","22.0
(71.6)","21.9
(71.4)","21.8
(71.2)","21.0
(69.8)","19.2
(66.6)","17.5
(63.5)","20.9
(69.6)",,,,,,,,40.48
Guatemala City,Guatemala,8.8125,8.175,2.641,1.673,0.8145000000000001,0.5237499999999999,4.616999999999999,6.139,4.763666666666666,0.0,3.75775,3.805,8.505,2.506,5.1645,7.157,4.1335,,,14.6417,-90.5133,GTM,3014000.0,5.73,436.56,46.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.69
Gurgaon,India,,,,,,,,,,,,,,,,,,128.0,59.9,28.456,77.029,IND,876824.0,3.68,875.18,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
